    "Time(sec)"   ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,"LinSolIter",    "LinSolRes"   ,       "CD"       , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
0.08405403800000499,-8.153544097604239,-8.125329816391774,-8.174308700731109,-2.699915289559453,           6,-3.397285817990858,0.002417779426711456, 322.2851003708783,      0.4215570528835294,   1.834635909018369,     1.832888559206605, 1.833762234112487,  0.4203136095729875
0.08698922600000003,-8.154876468394036,-8.130440065898442,-8.177802748883551,-2.701511122113502,           6,-3.399006058104089,0.002416252223007914, 322.3164573488591,      0.4215980686028714,   1.835273364921423,     1.833525728737531, 1.834399546829477,  0.4204596869670584
0.08584881800000232,-8.156187077243164,-8.135571007257798,-8.181303817318824, -2.70307608098606,           6,-3.400757874384028,0.002414715160562607,  322.348203931787,      0.4216395939353265,   1.835902005166281,     1.834153983894769, 1.835027994530525,  0.4206037324254837
0.08593617600000414,-8.157476585505245,-8.140721489901807, -8.18481091665155,-2.704611032951594,           6,-3.402540038107377,0.002413168837658766,  322.380335901734,      0.4216816233637382,   1.836521972063739,      1.83477346083491, 1.835647716449325,  0.4207457778617875
0.08587214300000312,-8.158745648432927,-8.145890326293376,-8.188323098262272,-2.706116848085473,           6,-3.404351772633917,0.002411613848577853, 322.4128489273334,      0.4217241512225695,   1.837133406188651,     1.835384296339866, 1.836258851264258,   0.420885855062213
0.0902549820000047,-8.159994914551897,-8.151076288891632,-8.191839457839292,-2.707594397698783,           6,-3.406191540671481,0.002410050783574037, 322.4457385713218,      0.4217671717077678,   1.837736446265834,     1.835986627734346,  1.83686153700009,   0.421023995663188
0.08385554599999523,-8.161225024880176,-8.156278110379072,-8.195359138188284,-2.709044552549456,           6,-3.408058143918117,0.00240848022883899, 322.4790002978426,       0.421810678886318,   1.838331229189474,     1.836580592780084, 1.837455910984779,  0.4211602311414271
0.08604614899999774,-8.162436612387397,-8.161494478547597,-8.198881331274515,-2.710468181278258,           6,-3.409950389202789,0.00240690276645388, 322.5126294795132,      0.4218546667054869,   1.838917890197634,      1.83716632961034, 1.838042109903987,  0.4212945928264246
0.08505529800000033,-8.163630301359921,-8.166724034374107,-8.202405280097656,-2.711866148960714,           6,-3.411867320207763,0.002405318974331019, 322.5466214042686,      0.4218991290017744,   1.839496563167238,     1.837743976745887, 1.838620269956563,  0.4214271119360934
0.07987342799999908,-8.164806706798274,-8.171965368276938,-8.205930279834819,-2.713239315744163,           5,-3.001270659276381,0.002403729480158018, 322.5809709428686,      0.4219440590660047,   1.840067187371501,     1.838313825502291, 1.839190506436896,  0.4215578148968701
0.07890164500000196, -8.16596628039073,-8.177205396806244,-8.209462448713042,-2.714586972921977,           5,-3.001621029931496,0.002402134681201931, 322.6156737873652,      0.4219894512632729,   1.840630440954893,     1.838876521982477, 1.839753481468685,  0.4216868534730328
0.08123906100000511,-8.167110029229123,-8.182458088512062,-8.212992587905635,-2.715912825359521,           5,-3.003097245926012,0.002400535191077819, 322.6507250425753,      0.4220352991905561,   1.841186666152033,     1.839432097543404, 1.840309381847719,  0.4218142704797352
0.07950053999999795,-8.168238351479342,-8.187720743312624,-8.216521667731813,-2.717216327164249,           5,-3.005324486076205,0.002398931601653834,  322.686119622611,      0.4220815961953843,   1.841735933188607,     1.839980370455526, 1.840858151822067,  0.4219400531381698
0.08430631400000266,-8.169351728934709,-8.192990735729696,-8.220049531776811,-2.718498528884314,           5,-3.007620265456536,0.002397324487155019, 322.7218524336295,      0.4221283356148823,   1.842278144049758,     1.840521121489092, 1.841399632769425,  0.4220641650907803
0.08148408300000654,-8.170450743200627, -8.19826588054997,-8.223575892409414,-2.719760238929183,           5,-3.009664420381046,0.002395714410065257, 322.7579183841464,        0.42217551078926,   1.842813209709492,     1.841054248639319, 1.841933729174405,  0.4221865844446426
0.08268118200000174,-8.171535981836938,-8.203544132954843,  -8.2271002612286, -2.72100222009227,           5,-3.011513724857779,0.002394101924252034, 322.7943123552178,      0.4222231150228095,    1.84334115025609,     1.841579825100936, 1.842460487678513,  0.4223073218903791
0.08114412800000537,-8.172607983874361,-8.208823404482343,-8.230622130628346,-2.722225217656693,           5, -3.01334138939234,0.002392487576603998, 322.8310291853335,      0.4222711415641451,   1.843862091685613,     1.842098062972622, 1.842980077329118,  0.4224264161750578
0.08083087400000011,-8.173667251717559,-8.214101545146297, -8.23414112060396,-2.723429973726219,           5,-3.015246478052037,0.002390871907953686, 322.8680636724554,      0.4223195836088695,   1.844376210887912,     1.842609238749376, 1.843492724818644,  0.4225439192584746
0.08427401200000872,-8.174714276841684,-8.219376374279486,-8.237656993999492,-2.724617236016226,           5,-3.017225365963951,0.002389255453571229, 322.9054105630761,      0.4223684342852622,   1.844883683063881,     1.843113632170357, 1.843998657617119,  0.4226598832786581
0.08234132500000158,-8.175749549029746,-8.224645699899092,-8.241169601536948,-2.725787755260666,           5,-3.019230828877718,0.002387638743389878, 322.9430645671234,      0.4224176866737753,   1.845384654448631,     1.843611496033624, 1.844498075241128,  0.4227743539664749
0.08168217600000105,-8.176773553557227,-8.229907325068231,-8.244678820154061,-2.726942276660714,           5,-3.021227025260009,0.002386022302107878, 322.9810204105406,      0.4224673338758093,   1.845879238004673,      1.84410304950456, 1.844991143754617,  0.4228873693851677
0.08049212100000602,-8.177786767160347,-8.235159050392092,-8.248184520731728,-2.728081532636185,           5,-3.023205228370212,0.002384406649216581, 323.0192728024083,       0.422517368970708,   1.846367521755836,     1.844588481670806, 1.845478001713321,  0.4229989612928675
0.08073087100000009,-8.178789656014603,  -8.2403986680596,-8.251686568549761,-2.729206239308482,           5,-3.025173696576973,0.002382792298990588, 323.0578164352098,      0.4225677850161055,   1.846849581394886,     1.845067956690318, 1.845958769042602,  0.4231091571774678
0.0805013989999992,-8.179782674977979,-8.245623943331474,-8.255184841934286, -2.73031709586532,           5,-3.027143109125771,0.002381179760439851, 323.0966459893773,      0.4226185750538726,   1.847325492350121,     1.845541617393246, 1.846433554871684,   0.423217982052298
0.08070330900000044,-8.180766266812201,-8.250832582784042,-8.258679252277997,-2.731414785254361,           5,-3.029119841941976,0.00237956953723568,  323.135756116225,      0.4226697320877933,   1.847795338843128,      1.84600958734373, 1.846902463093429,  0.4233254597304691
0.08457153500000913,-8.181740861200934,-8.256022212805179,-8.262169755000354, -2.73249997513772,           5,-3.031105299178768,0.00237796212759762, 323.1751414723104,      0.4227212491285099,   1.848259219034982,     1.846471972360699, 1.847365595697841,   0.423431613588941
