y value,alpha-H2,alpha-H,alpha-O,alpha-O2,alpha-OH,alpha-H2O,alpha-HO2,alpha-H2O2
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.1253488141870145,-2.709747e+00,-8.498671e+00,-5.052736e-01,-8.445181e-01,-1.949817e+00,+2.870221e+00,+2.278137e+00,+1.849858e-01
4.1253488141870145,-2.709747e+00,-8.498671e+00,-5.052736e-01,-8.445181e-01,-1.949817e+00,+2.870221e+00,+2.278137e+00,+1.849858e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.120533792739359,-2.651681e+00,-8.434103e+00,-9.221568e-02,-6.612561e-01,-1.804318e+00,+3.039472e+00,+2.408642e+00,+3.350496e-02
4.120533792739359,-2.651681e+00,-8.434103e+00,-9.221568e-02,-6.612561e-01,-1.804318e+00,+3.039472e+00,+2.408642e+00,+3.350496e-02
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.118382250867618,-2.705488e+00,-8.513728e+00,-3.404853e-01,-8.130752e-01,-1.897129e+00,+2.898622e+00,+2.279032e+00,-1.753370e-01
4.117835091362843,-2.693415e+00,-8.520323e+00,-2.660283e-01,-7.271418e-01,-1.828164e+00,+2.976289e+00,+2.380951e+00,-1.288177e-01
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
4.116081939545072,-2.710606e+00,-8.543667e+00,-3.496603e-01,-7.742200e-01,-1.864222e+00,+2.932556e+00,+2.340731e+00,+2.630793e-02
