    "Time(sec)"   ,    "rms[A_P]"    ,    "rms[A_U]"    ,    "rms[A_V]"    ,    "rms[A_T]"    ,"LinSolIter",    "LinSolRes"   , "avg_temp_outlet","avg_temp_outlet_scaled","avg_p_center_inlet","avg_p_cocenter_inlet",   "avg_p_inlet"  ,"avg_p_inlet_scaled"
0.07479484400001013,-4.177456125755567,-4.326462512740624,-4.626453785874602,-5.840197161442506,           7,-3.056218719034403,                 0,                       0,                   0,                     0,                 0,                   0
0.07549832100001197,-4.177986057475748,-4.327504214965408,-4.628246541634305,-5.841135212258942,           7,-3.056826954027999,                 0,                       0,                   0,                     0,                 0,                   0
0.07585883599999477,-4.178516079422213, -4.32853909315495,-4.630022384287413,-5.842070598801751,           7,-3.057432599358354,                 0,                       0,                   0,                     0,                 0,                   0
0.07627466799999638,-4.179046219498021,-4.329567029179972,-4.631782023779517,-5.843003335603258,           7,-3.058035636947296,                 0,                       0,                   0,                     0,                 0,                   0
0.07594574399999487,-4.179576505661228,-4.330587897449171,-4.633526214518528,-5.843933430802221,           7,-3.058636047995065,                 0,                       0,                   0,                     0,                 0,                   0
0.07452158799999609,-4.180106965769791, -4.33160156557968,-4.635255750272505,-5.844860887027096,           7,-3.059233812854332,                 0,                       0,                   0,                     0,                 0,                   0
0.07678307699998754,-4.180637627403653,-4.332607895082365,-4.636971458534909,-5.845785702293999,           7,-3.059828910951016,                 0,                       0,                   0,                     0,                 0,                   0
0.0754813379999888,-4.181168517683455,-4.333606742029319,-4.638674194432107,-5.846707870890853,           7,-3.060421320755196,                 0,                       0,                   0,                     0,                 0,                   0
0.07663906999999881,-4.181699663104792,-4.334597957689236,-4.640364834241133,-5.847627384224984,           7,-3.061011019804532,                 0,                       0,                   0,                     0,                 0,                   0
0.07595055300001263,-4.182231089403621,-4.335581389129445,-4.642044268588368,-5.848544231616817,           7,-3.061597984776242,                 0,                       0,                   0,                     0,                 0,                   0
0.07591472400000043,-4.182762821463974,-4.336556879794956,-4.643713395397825,-5.849458401029492,           7,-3.062182191604505,                 0,                       0,                   0,                     0,                 0,                   0
0.07570900700000038,-4.183294883273475,-4.337524270075876,-4.645373112669641,-5.850369879728437,           7,-3.062763615635188,                 0,                       0,                   0,                     0,                 0,                   0
0.07500208400000474,-4.183827297926904,-4.338483397876956,-4.647024311170376,-5.851278654870615,           7,-3.063342231811728,                 0,                       0,                   0,                     0,                 0,                   0
0.07513063199999692,-4.184360087672993, -4.33943409919645,-4.648667867135724, -5.85218471402485,           7,-3.063918014882371,                 0,                       0,                   0,                     0,                 0,                   0
0.07467155700000205,-4.184893273996416,-4.340376208719091,-4.650304635084814,-5.853088045627818,           7,-3.064490939622653,                 0,                       0,                   0,                     0,                 0,                   0
0.07552508199999863,-4.185426877724505,-4.341309560420099,-4.651935440863792,-5.853988639380266,           7,-3.065060981063997,                 0,                       0,                   0,                     0,                 0,                   0
0.07695886600001245,-4.185960919147798,-4.342233988172756,-4.653561075032265,-5.854886486588294,           7,-3.065628114721789,                 0,                       0,                   0,                     0,                 0,                   0
0.07467760900000542, -4.18649541814422,-4.343149326348517,-4.655182286708774,-5.855781580454194,           7,-3.066192316817424,                 0,                       0,                   0,                     0,                 0,                   0
0.07603554700000359,-4.187030394298254,-4.344055410395017,-4.656799777985563,-5.856673916320467,           7,-3.066753564487867,                 0,                       0,                   0,                     0,                 0,                   0
0.07533360400000788,-4.187565867008944,-4.344952077376769,-4.658414199009396, -5.85756349186993,           7,-3.067311835978535,                 0,                       0,                   0,                     0,                 0,                   0
0.0754681420000054,-4.188101855583167,-4.345839166463931,-4.660026143807672,-5.858450307284764,           7,-3.067867110815305,                 0,                       0,                   0,                     0,                 0,                   0
